url,temple_name,temple_url,temple_info
https://www.bharattemples.com/andaman-nicobar/,"Radhakrishna Temple, Port Blair",https://www.bharattemples.com/radhakrishna-temple-port-blair/,"
Radhakrishna Temple is situated in the Shadipur, Port Blair, Andaman and Nicobar Islands, India. Thousands of bhakts (devotees) and pilgrims visits Radhakrishna Temple every month.Radha Krishna are collectively known within Hinduism as the combination of both the feminine as well as the masculine aspects of God. Krishna is often referred as Svayam Bhagavan in Vaishnavism […]
"
https://www.bharattemples.com/andaman-nicobar/,"Shiva Temple, Port Blair",https://www.bharattemples.com/shiva-temple-port-blair/,"
Shiva is one of the principal deities of Hinduism. He is the Supreme Being within Shaivism, one of the major traditions within contemporary Hinduism.Shiva is known as the “destroyer and the transformer” within the Trimurti, the Hindu trinity that includes Brahma and Vishnu. In Shaivism tradition, Shiva is the Supreme being who creates, protects and […]
"
https://www.bharattemples.com/andaman-nicobar/,"Hanuman Temple, Port Blair",https://www.bharattemples.com/hanuman-temple-port-blair/,"
Sri Veer Hanuman Temple is located at Port Blair city belongs to South Andaman district in Andaman and Nicobar Islands union territory of India. Andaman and Nicobar Islands, one of the seven union territories of India, are a group of islands at the juncture of Bay of Bengal and Andaman Sea. Port Blair is the […]
"
https://www.bharattemples.com/andaman-nicobar/,"Sri Vertimalai Murugan Temple,  Port Blair",https://www.bharattemples.com/sri-vertimalai-murugan-temple-port-blair/,"
Situated in the heart of the capital city,Port Blair, is an ancient Murugan temple. It is situated right behind the Governors residence (Raj Niwas). The grandeur of this temple makes it a must see attraction. The temple is called Vetrimalai Murugan Temple and it is the most well known place of worship on the island. […]
"
https://www.bharattemples.com/andhra-pradesh,"Somarama Temple, Godavari",https://www.bharattemples.com/somarama-temple-godavari/,"
Somarama is one of the five Pancharama Kshetras that are sacred to the Hindu god Shiva. The temple is located in Bhimavaram of West Godavari district in the Indian state of Andhra Pradesh.It is one of the centrally protected monuments of national importance. Architecture This temple is an old but looks like a new one because of paintings on the walls and sculptures. At the front of […]
"
https://www.bharattemples.com/andhra-pradesh,"Maddi Anjaneya Temple, Godavari",https://www.bharattemples.com/maddi-anjaneya-temple-godavari/,"
Sri Maddi Anjaneya Swamy Temple is an ancient holy temple and a popular pilgrim center in Andhra Pradesh of South India. This temple is 51 km from Eluru, the headquarters of West Godavari District [Jangareddygudem] Architecture Legend / Local stories Photo Gallery How to Reach: Address Guravaigudem, West Godavari, Jangareddy Gudem, Andhra Pradesh 534447 Contact Details 088212 26494
"
https://www.bharattemples.com/andhra-pradesh,"Kotasattemma Temple, Godavari",https://www.bharattemples.com/kotasattemma-temple-godavari/,"
Kotasattemma Temple is a Hindu pilgrimage center in Nidadavolu of West Godavari district in the Indian state of Andhra Pradesh During Chalukya period, Kotasattemma temple was constructed by Chalukya Veerabadhra, the spouse of Rudrama Devi. The idol of Kotasattemma was immersed by several calamities during the Reddy dynasty. In 1934, the idol was found by Devulapalli Rama Murthy Sastri in his land and later he constructed the temple. Architecture Legend […]
"
https://www.bharattemples.com/andhra-pradesh,"Sri Sampath Vinayagar Temple, Visakhapatnam",https://www.bharattemples.com/sri-sampath-vinayagar-temple-visakhapatnam/,"
Sri Sampath Vinayagar is the prominent deity of Visakhapatnam locals. The temple is located in Asilmetta of Visakhapatnam city. This temple was built in 1962 by T.S. Rajeshwaran and T.S. Selvaganesan later it comes under Endowments Department of Andhara Pradesh. Local people still believe that Indo-Pakistani War of 1971 this temple saved city from attack of PNS Ghazi and sank that submarine in the coast of Visakhapatnam. […]
"
https://www.bharattemples.com/andhra-pradesh,"Nookalamma temple, Visakhapatnam",https://www.bharattemples.com/nookalamma-temple-visakhapatnam/,"
Nookallamma (or Nookambika) is a local deity or Gramadevata popular in Andhra Pradesh State of India. The temple houses the goddess Nookambika. Appalaraju built this temple to Kakatambika, a family goddess. She would later be called Nookambika or Nookalamma. On “Kottha Amavasya“, a day before Ugadi, thousands of people from throughout Andhra Pradesh come to the temple for worship Architecture Legend / Local stories Photo Gallery How […]
"
https://www.bharattemples.com/andhra-pradesh,"Kanaka Maha Lakshmi Temple, Visakhapatnam",https://www.bharattemples.com/kanaka-maha-lakshmi-temple-visakhapatnam/,"
Sri Kanaka Maha Lakshmi is the presiding deity of Visakhapatnam locals. The temple is located in Burujupeta of Visakhapatnam city. Architecture Legend / Local stories Photo Gallery How to Reach: Address own Kotha Rd, Burujupeta, Chengal Rao Peta, Port Area, Visakhapatnam, Andhra Pradesh 530001 Contact Details 089125 66515  
"
