temple_url,temple_details
https://www.bharattemples.com/devi-kanyakumari-kanyakumari/,"Kumari Devi is believed to be an incarnation of Goddess Parvati. Parvati Mata took the birth of Kumari Devi to kill the demon named Banasura.
The Kumari Amman temple situated in Kanyakumari has Maa Bhagawati Durga in its sanctum sanctorum.  What’s unique about this holy spot is that it firmly prohibits men from entering its premises at any time. Only sanyasis (celibate men) are permitted to proceed to the gate, whereas married men are not permitted to enter.
With Goddess Bhagawati as the reigning deity of the temple, it’s believed to be one of the 52 Shakti Peethas. As per the puranas, the right shoulder and spine area of Sati’s corpse fell at this spot, which is housed inside the Kanya Kumari temple. Another legend says that Goddess Parvati was supposedly treated disrespectfully by Lord Shiva at this site on the day of their wedding, and male entry remains restricted here to date.
It is said that Maa Parvati went to a lonely site in the mid of the ocean for Tapasya. She tried very hard Tapasya for getting Lord Shiva as her husband. So in this temple, only women are allowed, men are prohibited there. This is a famous temple of Kanya Kumari, where Kanya Maa Bhagawati Durga is worshipped by women only.
The Kumari Amman temple was built during the reign of the Pandya dynasty. It was later rebuilt by the Vijayanagara, Chola and Nayaka kings. A pavilion of sixteen pillars is built in the temple. 
The main deity of the temple, Devi Kumari is facing east. The idol shows Goddess as a young girl with a garland. The nose-ring of the deity is known for its extraordinary lustre. There are many tales related to it as well.
The eastern gate of the temple is kept closed on most of the days. It is opened only on special occasions and days such as new moon days during the month of Vrischikam, Edavam and Karkidakam.
There is a well inside the temple from where water is used for the consecration of the goddess. This is known as Moola Ganga Theertham.
In great Hindu epic Mahabharata and Ramayana, Kumari Amman Temple has been mentioned. Even in the Sangam works such as Manimekalai and Purananooru, there is mention of this temple.
According to the legend behind the Kanyakumari Temple, demon Banasura had captured all devas and kept them in his cruel captivity. As per the boon, he could be killed only by a virgin girl. Hence, upon devas prayers and pleadings, Goddess Parasakthi took the form of Kumari, the virgin girl so as to kill the demon.
With time, Lord Shiva fell in love with Kumari and the arrangements for their celestial wedding were made. Sage Narada, who was aware of the fact that demon Banasura can be killed only if the Goddess remains unmarried, tried to cancel the wedding in many ways. When he couldn’t succeed and the marriage time was fixed for midnight, he devised a plan. On the day when Lord Shiva started his journey for the wedding, from Suchindram at Valukkuparai to Kanyakumari, Sage Narada took the form of a cock. He crowed to misleadingly indicate the onset of the morning. Lord Shiva, hearing the cock, returned back, thinking that the auspicious time of wedding had passed, while the Goddess was left waiting for him. Later, Goddess decided to remain unmarried.
However, when demon Banasura, mesmerised by the Goddess’s beauty, tried to marry her forcibly, she annihilated him with her Chakra Gadha, as well as freeing devas from his capture. Later, Banasura asked Goddess for mercy and prayed to her to absolve his sins. Goddess forgave him and blessed the water of holy confluence. It is said that whoever takes a dip in the waters here, washes off his/her sins.
As per the legend, Saint Narada and Lord Parasurama requested the goddess to stay on earth till the end of Kaliyuga. Lord Parasuram later constructed a temple by the side of the ocean; he then installed an idol of the Goddess Kanya Kumari. The shores around the temple have around 25 theerthams. Another holy place near the temple is Sripada Parai, also known as Vivekananda Rock Memorial. Imprints of Goddess’s feet can be seen on the rock.
 Vaisakhi Festival which is mostly celebrated in the month of May is the most important festival of the temple. It is celebrated for a span of 10 days. During this festival, the utsava idol of Goddess Kumari also takes part in various processions of the festival.
Other important festivals of the temple are Navaratri Festival, Float Festival, Chitra Purnima Utsav, Car Festival and Kalabham (Sandal) festival.
Tourists can reach Devi Kanyakumari Temple easily as it is easily accessible by road. Tourists can take auto rickshaws or taxi to the temple. There are also city buses that one can take to reach here.
This temple is at a distance of 1 km away from Kanyakumari Bus Stop as well as quite close to the Kanyakumari Railway Station which is also around 1 km away.
Kumari Amman Temple Kanyakumari Address: Sannathy Street, Kanyakumari, Tamil Nadu, 629702, India
Phone: 04652 246 223
Kumari Amman Devi is referred as Devi Kanyakumari. The town is named after this goddess. 
Kumari Bhagavathy Amman temple is the first Durga Temple created by Lord Parasurama and one of the 108 Shakthi Peedas. This temple is situated at the shore of the Laccadive Sea. Kumari temple has been mentioned in Ramayana, Mahabaradha and Purananooru.

"
https://www.bharattemples.com/golden-temple-vellore/,"The temple is located on 100 acres of land and has been constructed by the Vellore-based charitable trust, Sri Narayani Peedam, headed by its spiritual leader Sri Sakthi Amma also known as ‘Narayani Amma’. The temple with its gold (1500 kg) covering, has intricate work done by artisans specialising in temple art using gold. Every single detail was manually created, including converting the gold bars into gold foils and then mounting the foils on copper. Gold foil from 9 layers to 10 layers has been mounted on the etched copper plates. Every single detail in the temple art has significance from the vedas.
10 km from Vellore
Sri Narayani Peedam, Thirumalaikodi, Vellore, Tamil Nadu 632055

"
https://www.bharattemples.com/annamalaiyar-temple-tiruvannamalai/,"The Annamalaiyar Temple is a Hindu temple dedicated to the deity Shiva, located at the base of Annamalai hills in the town of Thiruvannamalai in the state of Tamil Nadu, India. It is one of the largest temples in India and is considered one of the most sacred shrines in the state. The temple complex covers an area of around 14 acres and features four gateway towers, or gopurams, that are among the tallest in South India. The temple is also an important pilgrimage site and is visited by thousands of devotees each year, particularly during the annual Karthigai Deepam festival, when a huge beacon is lit on the summit of the nearby Annamalai hill.
Annamalaiyar Temple is a Hindu temple dedicated to the deity Shiva, located at the base of Annamalai hills in the town of Thiruvannamalai in Tamil Nadu, India. Annamalaiyar Temple is the Third-Tallest Gopuram (216.5 ft) in the world.
The Annamalaiyar Temple is an example of the Dravidian style of temple architecture, which is characterized by its grand scale, intricate carving, and the use of stone. The temple complex is surrounded by high walls and features four gateway towers, or gopurams, that rise to a height of over 60 meters. These gopurams are decorated with a variety of figures, including gods, goddesses, demons, and beasts.
The main temple structure is a massive pyramidal tower, or vimana, that rises to a height of over 40 meters. The vimana is topped with a dome-shaped structure, or stupi, that is covered in gold. The temple also features a mandapa, or hall, that is used for rituals and ceremonies, and a shrine dedicated to the goddess Parvati.
The temple is known for its intricate carvings and sculptures, which adorn the walls and pillars of the complex. The carvings depict scenes from Hindu mythology, as well as various forms of Shiva and Parvati. The sculptures are detailed and full of expression.
The temple has five-tier Rajagopuram which is the tallest gopuram in the temple and one of the tallest in South India. The temple’s gopurams are covered in sculptural detail, including an array of deities, mythical beasts and demons .
The Temple complex also has number of smaller shrines, water tank, and many mandapas for various rituals and ceremonies.
There are several legends associated with the Annamalaiyar Temple that are deeply ingrained in the local folklore and traditions. One of the most famous legends is that the temple was built by Lord Shiva himself. According to the legend, Lord Shiva took the form of a young hill and appeared in front of the sage Agastya, who was meditating at the base of the Annamalai hills. Lord Shiva asked the sage to build a temple at the base of the hill and promised that he would reside there forever.
Another popular legend tells the story of the temple’s main deity, Lord Annamalaiyar, and his consort, Goddess Unnamulai Amman. The legend states that Lord Annamalaiyar and Goddess Unnamulai Amman were once separated and that Lord Annamalaiyar was in a deep depression without her. To cheer him up, Lord Vishnu, in the form of a hunter, suggested to Lord Annamalaiyar that he should search for a suitable place to build a temple for Goddess Unnamulai Amman. Eventually, Lord Annamalaiyar chose the base of the Annamalai hills, and he and Goddess Unnamulai Amman were reunited.
Another popular legend is that Lord Shiva appeared as a column of fire on the top of Annamalai hills during the Karthigai deepam festival, which is celebrated every year in the Tamil month of Karthigai (November – December). This festival is celebrated in grand manner in the temple where a huge beacon is lit on the summit of the nearby Annamalai hill, this event is also visible from miles. The festival attracts large number of devotees from across the state and country.
Many of these legends are closely tied to the religious beliefs and practices of the local people and are an important part of the temple’s history and culture.
Chennai Airport is 189 kms Away From Tiruvannamalai.
Tiruvannamalai is 80 km away from Vellore Which is Well Connected with Chennai by Train
From Chennai Central Bus Stand Tiruvannamalai is Around 195 kms Away from Chennai
Pavazhakundur, Tiruvannamalai, Tamil Nadu 606601
04175 252 438

"
https://www.bharattemples.com/lord-veeraraghava-perumal-temple-thiruvallur/,"The legend connected with the origin of this temple shows that once upon a time, in Krita Yuga, a sage by name Purupunyar lived with his wife Satyavathi in Badarikashram. They had no children. Purupanyar performed a Sali Yajna. (Putrakameshti Yaga) with great fervor and devotion. The Sage offered 1000 Ahutis (oblations of gheeto the sacrificial fire after chanting the mantra each time) every day, for one full year. ‘On the last day, when Purnahuti (the final offering) was performed, Lord Narayana was pleased with the austerity of the ritualistic observances of the Sage, and appeared in the sacrificial fire in a blissful mood to offer boons. The Sage prayed for a noble son.The boon was granted with the condition that he should be named after the name of the Yajna as Salihotran. With this blessing, Lord Narayana disappeared. Then the Sage collected the ash strewn around the Yajna Peetha and gave a handful of it to his consort to take in with great veneration as Prasadam. In the tenth month after that, a glorious son was born to Sage Purupunyar.
The child was named Salihotran as ordained by Lord Narayana. With the growth of years, the child showed signs of precocity and started on a pilgrimage-visiting temple after temple. On Tai Amavasya day (New Moon day in January-February), he reached Tiruvallur where he found that Lord Brahma, other Devas and great sages like Vasishtha, were engaged in taking bath in the Hrittapanasini tank.
The nearest International/ Domestic airports is Arignar Anna International Airport/ Kamarajar Domestic Airport at Tirusulam (47Km).
Tiruvallur Railway Station plays an important transit point to many places in Southern parts of India like Salem, Erode, Bengaluru, Mangalore etc. and Western parts of India like Pune, Mumbai etc. Further, it is well connected to holy places like Tiruvalangadu, Tiruttani, Tirupati, Mantralayam amd Shirdi. In addition, EMU Services to Chennai Central, Arakkonam and Tiruttani are available from early in the morning to late in the night.
Three important National Highways namely, NH 16, NH 48 and NH 716 are passing through the District boundary. Bus Stand is situated in the heart of the town and buses are available to outstation and mofussil routes from early in the morning to late in the night.
adjacent to Temple Tank, Sannadhi Street, MGM Nagar, Tiruvallur, Tamil Nadu 602001
044 2766 0378

"
https://www.bharattemples.com/arulmigu-subramaniya-swami-temple-thiruvallur/,"The beautiful temple of Lord Muruga at Tiruttani crowns a single rock 700 feet above sea level. It is situated amidst a range of hills with a dramatic panoramic view. This sacred place is on the Chennai-Mumbai, 13 kilometers from Arakkonam and 84 kilometers from Chennai.
Around this town are famous religious places such as Kancheepuram (Banares of the South) on the South, Sholingar and Vallimalai on the West, the popular and renowned pilgrimage centre, Tirupati (otherwise called Balaji) and Kalahasti (with its Vayu Lingam) on the North and Tiruvalangadu (of puranic fame) with Lord Nataraja on the East.
Chennai Airport
Southern Railway also operates frequent passenger services to and from Chennai.Many electric trains are operated and some express trains which pass through this station stops here.The first local train from Chennai Central is 4:00 am and last train is at 8:15 pm.
Tamil Nadu State Transport Corporation operates frequent buses from locations including Chennai, Salem, Bangalore, Tiruvallur, Vellore, Arakkonam, Chittoor, Chengalpet, Kanchipuram, Thiruvannamalai, Thiruppathi and Local Bus Services Available to near by Villages/Towns
 Thiruthani Hill, Thiruttani, Tamil Nadu 631209
 044 2788 5247

"
https://www.bharattemples.com/devi-karumariamman-temple-thiruvallur/,"One of the sportive arts of Devikarumari. One day Devikarumari took the image of old nomadic lady and went to Sun to forecast his future. Without realising her as Devikarumari, He simply neglected her. Devikarumari immediately vanished. Sun has lost its brightness and its glory started declining. Realising his mistake he begged Devikarumari to forgive and excuse him.
Sun also requested Devikarumari to celebrate Sunday as the day of Devikarumari. Devikarumari also accepted it. He also got permission from her to pour on her sunrays twice in a year in the month of Panguni and Purattasi. So Sunday is celebrated as the day of Karumari. We can happily witness the scene of sunrays falling on the head of Devikarumari twice in a year.
Chennai Airport
There is enough bus facility from Chennai Central and Egmore Railway Stations.
There is enough bus facility to reach here.

"
https://www.bharattemples.com/vadivudaiamman-thygarajaswami-temple-thiruvallur/,"North Chennai, the industrial face of Chennai, from refineries to the transport offices North Chennai stands as the densely populated place of the city. Thiruvotriyur is nestled in this part of the city is the place of importance at the month of Aadi as VADIVUDAIAMMAN THYGARAJASWAMI TEMPLE is located here.
Vadivudaiamman is the form of Gnana Sakthi who blesses the people with wisdom and knowledge to survive in this world, visiting the temple at the noon and participating in the mid day pooja with a red colour saree and jack fruit as a humble offering to Amman will bless the needs of the devotees stepping in to the temple, the temple is said to be the first temple created in this world hence the name for Lord Shiva is known as Aadhipurishwarar (the first form of Shivan) Thygaraja Swami in the temple resemble Thygaesar of Thiruvaaroor.
If you plan to visit the temple plan your visit earlier as the roads in the North Chennai will test your patience, Thiruvottriyour is well connected by MTC buses from round the city.
Chennai Airport
Frequent Train Services available
This place is well connected by buses from round the city.
Sannathi St, Gopal Nagar, Tiruvottiyur, Chennai, Tamil Nadu 600019
044 2573 3703

"
https://www.bharattemples.com/rockfort-temple-tiruchirapalli/,"The most famous land mark of Tiruchirappalli is Rockfort Temple. It is also called as Ucchi Pillaiyar Kovil. It is in the heart of the city. This is a 275 ft. tall rock structure. It is reached by a step flight of 437 steps cut into the rock. Halfway up is the Sri Thayumanaswamy Temple, dedicated to Lord Shiva. It has a 100 pillared hall, and a Vimana. There are inscription in these temple that date back to 3rd century B.C. From its summit tourists can get a fantastic view of the town plus its other main landmark, Srirangam, Cauvery River, Coleroon River, Thiruvanaikal Kovil, etc. The temple is located 5 kms from Central Bus Stand and 1 km from Chathiram Bus Stand. Trichy. Government and private bus services are available to reach Rockfort.
Tiruchirappalli International Airport
Tiruchirappalli Junction
Tiruchirappali – Chtram Bus stand-Buses are available from Central Bus Stand
0431 270 4621

"
https://www.bharattemples.com/mangala-devi-kannagi-temple-theni/,"Mangala Devi Kannagi temple is a historic temple located in the Idukki district of Kerala bordering Tamil Nadu, about 7 km from Pazhiyankudi in Theni district and 15 km from Thekkady in Idukki district. Cheran Chenguttuvan, the king of ancient Tamilakam, had erected the temple for Kannagi around 2000 years back at Vannathiparai and called it ‘Kannagi Kottam’ or ‘Mangaladevi Kannagi temple’ and performed regular pujas. It sits at an altitude of about 1,337 m (4,386 ft) above the mean sea level. It is surrounded by lush greenery and is closed throughout the year except during the Chitra Pournami festival.[1] At other times tourists can still view it by getting a special letter from the forest ranger. The view from the temple premises is spectacular and one can see part of eastern ghatsand some villages from adjacent state of Tamil Nadu
Nearest Airport : Madurai
Nearest Railway station : Madurai
Reaching from Madurai-Usilampatti-Andipati to Theni

"
https://www.bharattemples.com/sanneswarer-temple-theni/,"There is a temple which is meant solely for Saneeswara Bhagawan(www.kuchanursaneeswarar.tnhrce.in,Department of Tourism, Culture and Religious Endowments of Tamil Nadu ) situated at Kuchanoor. The Lord is seen in swayambhu (self-appeared) form, the name of the town being derived from Kubjan, one of Shani’s names (Kubjanoor). In front of this temple the perennial river Surabi flows which carried the waters of Periyar river and Suruliyaru. There are different religious people like Hindu,Muslim are there in Kuchanur and also there is different communities people like Thevar, Pillai, Nayakar people live together in Kuchanur. There is a separate temple for guru which faces north direction so this temple is known as vadaguru temple. There is a hanuman temple in which there is a ganesh who has got five heads. There is water in the Surubi river throughout the year.
Nearest Airport : Madurai
Nearest Railway station : Madurai
Reaching from Madurai-Usilampatti-Andipati to Theni

"
